1;01/01/2007;24/09/2020
1;25/09/2020;01/01/2100
2;19/06/2017;24/09/2020
2;25/09/2020;01/01/2100
3;02/06/2017;24/09/2020
3;25/09/2020;01/01/2100
4;21/08/2008;24/09/2020
4;25/09/2020;01/01/2100
5;01/01/2007;23/03/2015
6;13/10/2017;24/09/2020
6;25/09/2020;01/01/2100
7;29/07/2015;19/03/2018
8;01/01/2007;17/09/2018
9;01/01/2007;18/07/2008
9;15/07/2010;24/09/2020
9;25/09/2020;01/01/2100
10;01/01/2007;19/12/2008
10;29/10/2013;26/07/2017
11;02/07/2007;26/06/2009
11;17/10/2011;24/09/2020
11;25/09/2020;01/01/2100
12;12/12/2012;24/09/2020
12;25/09/2020;01/01/2100
13;01/01/2007;06/04/2020
14;01/01/2007;19/08/2014
15;01/01/2007;31/05/2016
16;05/06/2009;24/09/2020
16;25/09/2020;01/01/2100
17;01/01/2007;27/03/2009
17;18/01/2011;20/07/2015
18;04/01/2007;23/12/2009
18;31/07/2012;30/03/2016
19;31/08/2015;24/09/2020
19;25/09/2020;01/01/2100
20;01/01/2007;09/09/2009
20;23/11/2011;03/12/2012
21;06/07/2011;24/09/2020
21;25/09/2020;01/01/2100
22;02/07/2012;24/09/2020
22;25/09/2020;01/01/2100
23;01/01/2007;01/07/2009
23;17/11/2010;04/03/2020
24;02/07/2007;05/06/2009
24;01/03/2011;27/01/2015
25;01/01/2007;24/09/2020
25;25/09/2020;01/01/2100
26;19/08/2014;26/07/2017
27;05/01/2016;24/09/2020
27;25/09/2020;01/01/2100
28;01/05/2018;02/05/2018
29;02/12/2013;24/09/2020
29;25/09/2020;01/01/2100
30;19/12/2011;24/09/2020
30;25/09/2020;01/01/2100
31;27/01/2015;02/03/2017
32;01/01/2007;26/02/2009
33;01/10/2012;24/09/2020
33;25/09/2020;01/01/2100
34;01/01/2007;24/09/2020
34;25/09/2020;01/01/2100
35;01/01/2007;17/03/2009
35;27/08/2010;24/09/2020
35;25/09/2020;01/01/2100
36;01/01/2007;12/05/2020
37;31/10/2018;24/09/2020
37;25/09/2020;01/01/2100
38;24/12/2012;24/09/2020
38;25/09/2020;01/01/2100
39;11/06/2019;24/09/2020
39;25/09/2020;01/01/2100
40;05/12/2014;24/09/2020
40;25/09/2020;01/01/2100
41;01/01/2007;02/01/2007
42;05/09/2012;24/09/2020
42;25/09/2020;01/01/2100
43;09/07/2013;31/08/2015
44;01/01/2007;24/09/2020
44;25/09/2020;01/01/2100
45;01/01/2007;24/09/2020
45;25/09/2020;01/01/2100
46;01/01/2007;02/07/2007
47;01/10/2012;03/05/2016
48;01/01/2007;24/09/2020
48;25/09/2020;01/01/2100
49;13/12/2011;01/07/2016
50;01/01/2007;24/09/2020
50;25/09/2020;01/01/2100
51;01/07/2008;19/12/2011
52;01/01/2007;24/09/2020
52;25/09/2020;01/01/2100
53;01/01/2007;24/09/2020
53;25/09/2020;01/01/2100
54;02/01/2013;24/09/2020
54;25/09/2020;01/01/2100
55;29/03/2007;23/12/2013
56;31/05/2018;24/09/2020
56;25/09/2020;01/01/2100
57;31/08/2015;24/09/2020
57;25/09/2020;01/01/2100
58;03/05/2016;18/06/2018
59;01/01/2007;24/09/2020
59;25/09/2020;01/01/2100
60;09/06/2009;01/10/2012
61;09/07/2015;24/09/2020
61;25/09/2020;01/01/2100
62;01/01/2007;23/09/2013
62;20/03/2017;24/09/2020
62;25/09/2020;01/01/2100
63;01/01/2007;03/12/2018
64;01/01/2007;08/02/2010
65;01/07/2014;05/02/2020
66;01/01/2007;24/09/2020
66;25/09/2020;01/01/2100
67;01/01/2007;24/09/2020
67;25/09/2020;01/01/2100
68;09/09/2009;23/05/2016
69;12/07/2007;24/09/2020
69;25/09/2020;01/01/2100
70;13/05/2016;24/09/2020
70;25/09/2020;01/01/2100
71;01/07/2016;24/09/2020
71;25/09/2020;01/01/2100
72;01/01/2007;02/11/2016
73;20/03/2017;24/09/2020
73;25/09/2020;01/01/2100
74;25/05/2012;24/09/2020
74;25/09/2020;01/01/2100
75;19/06/2017;24/09/2020
75;25/09/2020;01/01/2100
76;01/01/2007;28/02/2011
77;01/01/2007;02/07/2015
78;01/01/2007;23/03/2015
79;23/12/2013;22/06/2020
80;01/07/2016;24/09/2020
80;25/09/2020;01/01/2100
81;01/01/2007;05/12/2008
82;01/01/2007;24/09/2020
82;25/09/2020;01/01/2100
83;01/01/2007;19/11/2007
84;02/06/2011;02/10/2012
85;03/04/2014;05/02/2020
86;01/01/2007;24/09/2020
86;25/09/2020;01/01/2100
87;01/01/2007;29/12/2015
88;01/01/2007;24/09/2020
88;25/09/2020;01/01/2100
89;01/01/2007;24/09/2020
89;25/09/2020;01/01/2100
90;01/01/2007;11/06/2008
91;01/01/2007;24/09/2020
91;25/09/2020;01/01/2100
92;23/03/2015;24/09/2020
92;25/09/2020;01/01/2100
93;09/07/2007;04/03/2009
94;01/01/2007;24/09/2020
94;25/09/2020;01/01/2100
95;01/01/2007;24/09/2020
95;25/09/2020;01/01/2100
96;01/01/2007;24/09/2020
96;25/09/2020;01/01/2100
97;01/01/2007;15/02/2007
